927,Pataka Industries Private Limited,CRISIL A/CRISIL A1,27-Dec-11,"CRISIL A-/CRISILA2+",4-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Patanjali Biscuits Private Limited,CRISIL BBB,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Patchala Spintex Private Limited,CRISIL B/CRISIL A4,30-Nov-12,"CRISIL B+/CRISILA4",21-Jan-14,"CRISIL BB/CRISILA4+",24-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Patco Precision Components Private Limited,CRISIL B,29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Pate Developers,CRISIL BB,29-Mar-13,CRISIL BB-,24-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Patel Agri Export,CRISIL BB-/CRISIL A4+,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Patel Enterprise - Manavadar,CRISIL B+/CRISIL A4,29-Mar-13,"CRISIL BB-/CRISILA4+",17-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Patel Hospital Private Limited,CRISIL BBB-,26-Sep-12,"CRISIL BBB-/CRISILA3",18-Feb-14,"CRISIL BBB/CRISILA3+",3-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Patel Incorporation,CRISIL B+,22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Patel Motors (Indore) Private Limited,CRISIL B/CRISIL A4,30-Jun-11,"CRISIL B+/CRISILA4",4-Jun-15,CRISIL B+,21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Patel Timber Depot,CRISIL B+/CRISIL A4,31-May-13,CRISIL B/CRISIL A4,25-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Patel Trading Corporation,CRISIL BB,22-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Path Infotech Limited,CRISIL BBB-/CRISIL A3,4-Oct-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Pathania Education Society,CRISIL B+/CRISIL A4,16-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Patidar Boards Private Limited,CRISIL B+,25-Nov-15,CRISIL BB-,10-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Patikari Power Private Limited,CRISIL BB,23-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,Patil and Company,CRISIL C/CRISIL A4,28-Feb-12,CRISIL D/CRISIL D,21-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Patna Iron Private Limited,CRISIL B,24-Jun-14,CRISIL B+,5-Nov-15,CRISIL BB-,21-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Patnaik Steels and Alloys Limited,CRISIL B+/CRISIL A4,20-Jul-09,"CRISIL BB-/CRISILA4+",8-Oct-10,CRISIL D/CRISIL D,16-Dec-11,"CRISIL C/CRISILA4",12-Mar-13,"CRISIL B-/CRISIL A4",29-May-14,"CRISILD/CRISIL D",27-Aug-15,"CRISIL C/CRISILA4",6-Dec-16,,,,,,,,,,,,,,,,,,
946,Patran Foods Private Limited,CRISIL B,26-Jun-12,Suspended,19-Dec-14,CRISIL B+,30-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Patson Global Limited,CRISIL B+,28-Jul-14,Suspended,1-Feb-16,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Patson Steels Private Limited,CRISIL BB-,30-Aug-14,Suspended,3-Sep-16,CRISIL BB-,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Patwa Abhikaran Ratlam Private Limited,CRISIL BB,23-Dec-13,CRISIL BB-,11-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Patwa Automotive Private Limited,CRISIL BB,23-Dec-13,CRISIL BB-,11-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Patwa Marketing Private Limited,CRISIL BB,23-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Patwari Plastics Private Limited,CRISIL B+,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Paulose Abraham,CRISIL B+/CRISIL A4,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Paulose George Construction Company Private Limited,CRISIL BB-/CRISIL A4+,29-Nov-11,"CRISIL BB/CRISILA4+",25-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Pavan Motors Private Limited,CRISIL B,25-Sep-12,CRISIL B+,9-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Pavan Traders,CRISIL B+,29-Feb-12,"CRISIL BB-/CRISILA4+",12-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Pavani Controls and Panels Limited,CRISIL BBB/CRISIL A3+,24-Dec-10,Suspended,2-Apr-14,"CRISIL BBB/CRISILA3+",30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Pavas Polychem Private Limited,CRISIL B/CRISIL A4,23-Jan-13,"CRISIL B+/CRISILA4",13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Pavasiya Exports,CRISIL BB-,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Pavithran Aseptic Fruit Products,CRISIL BB/CRISIL A4+,21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Pawan Castings (Meghalaya) Private Limited,CRISIL BB-,18-Feb-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Pawan Kumar Prem Kumar,CRISIL B+,30-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Pawan Oil Industries,CRISIL B/CRISIL A4,4-Sep-12,"CRISIL B+/CRISILA4",22-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Pawansut Construction,CRISIL B/CRISIL A4,23-Jul-14,"CRISIL B+/CRISILA4",6-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,"Pawar Patkar and D. S. Contractors AssociatesPrivate Limited",CRISIL B+/CRISIL A4,18-Sep-12,CRISIL B/CRISIL A4,28-Jan-15,CRISIL B-/CRISIL A4,16-Mar-16,"CRISIL D/CRISILD",30-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,
966,Pawar Patkar Constructions Private Limited,CRISIL BBB-/CRISIL A3,23-Feb-09,"CRISIL BB+/CRISILA4+",5-Dec-12,"CRISIL BBB-/CRISILA3",3-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
967,Payal Petrochem Private Limited,CRISIL B/CRISIL A4,13-Mar-13,"CRISIL BB-/CRISILA4+",12-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Payal Polyplast Private Limited,CRISIL BB-/CRISIL A4+,30-May-12,CRISIL B/CRISIL A4,4-Jan-13,"CRISIL BB-/CRISILA4+",20-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
969,"Payyanur Medical Service and Research CentrePrivate Limited",CRISIL B,5-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,PBN Constructions Private Limited,CRISIL B+/CRISIL A4,7-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,PBR Select Infra Projects,CRISIL BB-/CRISIL A4+,29-Jul-13,"CRISIL B+/CRISILA4",23-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,PC Jeweller Limited,CRISIL BBB-/CRISIL A3,9-May-08,"CRISIL BBB/CRISILA3+",5-Aug-10,"CRISIL BBB+/CRISILA2",16-Aug-11,"CRISIL A/CRISILA1",5-Jul-12,,,,,,,,,,,,,,,,,,,,,,,,
973,PCC Infrastructure Private Limited,CRISIL A4,30-Oct-13,CRISIL B/CRISIL A4,19-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,PCI Limited,CRISIL BBB-/CRISIL A3,10-Mar-10,"CRISIL BB+/CRISILA4+",12-Apr-11,"CRISIL BB/CRISILA4+",9-May-12,"CRISIL D/CRISILD",24-Jul-14,"CRISILC/CRISIL A4",31-Jul-15,"CRISILD/CRISIL D",16-Sep-15,,,,,,,,,,,,,,,,,,,,
975,PCK Cotton Private Limited,CRISIL B/CRISIL A4,27-Mar-12,"CRISIL B+/CRISILA4",27-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,PCM Strescon Overseas Ventures Limited,CRISIL C/CRISIL A4,6-Apr-09,CRISIL B-,16-May-11,CRISIL B,16-Aug-12,"CRISIL BB-/CRISIL A4+",17-Oct-14,"CRISILB/CRISIL A4",28-Oct-15,,,,,,,,,,,,,,,,,,,,,,
977,PCP International Limited,CRISIL BBB/CRISIL A3+,16-Feb-12,"CRISIL BBB-/CRISILA3",19-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,PD Rice Udyog,CRISIL BB/CRISIL A4+,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,PDRV Enterprises Private Limited,CRISIL B+/CRISIL A4,30-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,PE Engineers Private Limited,CRISIL BB-/CRISIL A4+,5-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Peacemoon Traders,CRISIL A4,10-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Peacock Apparels Private Limited,CRISIL A4+,30-Oct-12,CRISIL A3,27-Dec-13,"CRISIL BBB-/CRISILA3",17-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Pearl Apparels,CRISIL BBB-/CRISIL A3,21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Pearl Distillery Limited,CRISIL BB-,23-Mar-12,CRISIL BB,31-Dec-14,CRISIL BB/FB+,18-Mar-15,CRISIL BB+,22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,
985,Pearl Furniture Private Limited,CRISIL B+,15-Sep-14,CRISIL BB-,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Pearl Global Industries Limited,CRISIL A3,14-Feb-13,"CRISIL BBB-/CRISILA3",17-Sep-13,"CRISIL BBB/CRISILA3+",24-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Pearl Insulations Private Limited,CRISIL BB+/CRISIL A4+,2-Mar-15,Suspended,7-Dec-16,"CRISIL BB-/CRISILA4+",16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Pearl Mineral And Mines Private Limited,CRISIL B+,21-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Peaton Electrical Company Limited,CRISIL B+/CRISIL A4,29-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Pebco Motors Limited,CRISIL BBB-/CRISIL A3,31-Mar-11,CRISIL BBB-,13-Jun-13,"CRISIL BBB-/CRISILA3",5-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Pee Aar International Private Limited,CRISIL B+/CRISIL A4,6-Jul-09,Suspended,27-Dec-12,CRISIL A4+,28-Feb-15,CRISIL D,13-May-16,,,,,,,,,,,,,,,,,,,,,,,,
992,Pee Cee Cosma Sope Limited,CRISIL BB+,18-Oct-12,CRISIL BBB-,17-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Pee Empro Exports Private Limited,CRISIL A2,29-Apr-11,Suspended,7-Nov-12,CRISIL A2,20-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Pee Gee Fabrics Private Limited,CRISIL BB/CRISIL A4+,29-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Pee Gee International (Delhi),CRISIL B,5-Nov-14,CRISIL B-,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Pee Jay Imports Exports,CRISIL B,29-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Pee Kay Shuttering House,CRISIL B,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Pee Vee Textiles Limited,CRISIL BBB/CRISIL A2,10-Jul-08,"CRISILBBB+/CRISIL A2",13-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Peejay Agro Foods Private Limited,CRISIL B-,20-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Peekay Agencies Private Limited,CRISIL BB/CRISIL A4+,28-Jan-16,"CRISIL BBB-/CRISILA3",29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Peekay Dealer Private Limited,CRISIL BBB-/CRISIL A3,29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Peekay Roller Flour Mills,CRISIL BB/CRISIL A4,29-Apr-09,"CRISIL BB/CRISILA4+",15-Sep-09,CRISIL BB,27-Jun-14,"CRISIL BB/CRISILA4+",26-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,
1003,Peekay Rolling Mills Private Limited,CRISIL BB+/CRISIL A4,29-Apr-09,"CRISIL BB+/CRISILA4+",15-Sep-09,"CRISIL BBB-/CRISILA3",15-Dec-09,"CRISILBBB/CRISIL A3+",17-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,
1004,Peekay Steel Castings Private Limited,CRISIL BBB-/CRISIL A3,21-May-09,"CRISIL BBB/CRISILA3+",17-Apr-13,"CRISIL BBB+/CRISILA2",11-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Peethambra Granites Private Limited,CRISIL BBB-,7-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Pegasus Properties Private Limited,CRISIL BBB,10-Feb-14,CRISIL BB+,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Pelican Air Private Limited,CRISIL BB-/CRISIL A4+,21-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Pelican International Private Limited,CRISIL B+/CRISIL A4,29-May-12,CRISIL D/CRISIL D,25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Penguin Apparels Private Limited,CRISIL BBB-/CRISIL A3,26-Sep-12,"CRISIL BBB/CRISILA3+",5-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Penguin Electronics Limited,CRISIL BBB/CRISIL A3+,22-Oct-09,CRISIL BBB,4-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Penguin Petroleum Services Private Limited,CRISIL BB-/CRISIL A4+,31-Mar-15,CRISIL D/CRISIL D,25-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Penguin Plywood Private Limited,CRISIL B-/CRISIL A4,23-Jan-15,CRISIL D/CRISIL D,22-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Penguin Random House India Private Limited,CRISIL A+,25-Sep-09,CRISIL A,30-Sep-13,CRISIL A+,13-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Penn Frozen Foods Private Limited,CRISIL B+,9-Jul-15,CRISIL B,9-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Pentagon Forge and Machine Limited,CRISIL BB-,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Pentagon Premises Private Limited,CRISIL BB-,30-Dec-10,Suspended,27-Sep-16,CRISIL BB-,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Pentagon Steels India Private Limited,CRISIL BB-/CRISIL A4+,28-Feb-13,CRISIL B/CRISIL A4,6-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Penver Products Private Limited,CRISIL B/CRISIL A4,19-Jan-09,"CRISIL B+/CRISILA4",1-Mar-11,"CRISIL BB/CRISILA4+",12-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,People Combine Avenues Limited,CRISIL A/CRISIL A1,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,People Combine Knowledge Solutions Private Limited,CRISIL A(SO),31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,People Combine Solutions Private Limited,CRISIL A(SO),31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,People's Exports Private Limited,CRISIL B/CRISIL A4,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Pep-Cee Pack Industries,CRISIL B+/CRISIL A4,30-Jun-12,"CRISIL BB-/CRISILA4+",20-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Perambalur Sugar Mills Limited,CRISIL B,14-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Percept Solar Enterprises,CRISIL B,1-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Peregrine Guarding Private Limited,CRISIL BBB/CRISIL A3+,27-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Peregrine Phosphate Private Limited,CRISIL B,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Perfect Agrofood Private Limited,CRISIL B+,30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Perfect Engineers & Contractors,CRISIL B+/CRISIL A4,30-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Perfect Infracorp Private Limited,CRISIL BBB-/CRISIL A3,12-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Perfect Retreads Private Limited,CRISIL BBB-,6-Sep-12,CRISIL BBB,28-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Perfect Writing Instruments Private Limited,CRISIL BB-/CRISIL A4+,26-Feb-14,"CRISIL BB/CRISILA4+",21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Periyar Polymers Private Limited,CRISIL B-/CRISIL A4,31-Jul-14,CRISIL B/CRISIL A4,20-Jan-16,CRISIL B+/CRISIL A4,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Perlei Textiles Private Limited,CRISIL A4+,25-Jun-13,"CRISIL BB/CRISILA4+",23-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Permanent Magnets Limited,CRISIL C/CRISIL A4,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Permeshwar Fashions Impex Private Limited,CRISIL BBB-/CRISIL A3,20-Jan-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Permionics Membranes Private Limited,CRISIL BBB-/CRISIL A3,13-Oct-11,"CRISIL BB+/CRISILA4+",23-Dec-14,"CRISIL BB-/CRISILA4+",22-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Perody Builders Private Limited,CRISIL B+,9-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Persipina Developers Private Limited,CRISIL BBB,20-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Perth Ceramic Private Limited,CRISIL B+/CRISIL A4,30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Pesca Marine Products Private Limited,CRISIL A4+,6-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Petro-Chem Industries,CRISIL B+/CRISIL A4,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Petronet LNG Limited,CRISIL AA-/CRISIL A1+,28-Jun-04,Withdrawal,17-Jul-06,CRISIL AA+,10-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,PEW Engineering Private Limited,CRISIL BB,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,PG Electroplast Limited,CRISIL BBB-/CRISIL A3,29-Jan-10,"CRISIL BB/CRISILA4+",13-Feb-12,"CRISIL BB-/CRISILA4",6-Mar-13,Suspended,18-Sep-14,"CRISILB+/CRISIL A4",21-May-15,"CRISIL BB-/CRISIL A4+",22-Jul-16,,,,,,,,,,,,,,,,,,,,
1046,PGL Ramji Motors Private Limited,CRISIL BB/CRISIL A4+,26-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Phalada Agro Research Foundations Private Limited,CRISIL BB/CRISIL A4+,6-Dec-12,CRISIL BB,17-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Phalanx Labs Private Limited,CRISIL B+,25-Nov-13,CRISIL D/CRISIL D,19-Nov-14,CRISIL B-/CRISIL A4,27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,"Phaloudi Constructions and Infrastructure PrivateLimited",CRISIL BB+/CRISIL A4+,25-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Pharmachem Traders Private Limited,CRISIL B+/CRISIL A4,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Pharmchem,CRISIL B+/CRISIL A4,21-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Phil Coal Benefication Private Limited,CRISIL BBB-,15-Jul-14,CRISIL BBB,14-May-15,CRISIL BBB-,11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Phil Ispat Private Limited,CRISIL B-/CRISIL A4,29-Jul-10,CRISIL D/CRISIL D,2-May-12,"CRISIL BB/CRISILA4+",1-Oct-12,"CRISIL BBB-/CRISIL A3",9-Jun-14,"CRISILBBB/CRISIL A3+",14-May-15,,,,,,,,,,,,,,,,,,,,,,
1054,Phil Minerals Benefication and Energy Private Limited,CRISIL BBB-/CRISIL A3,31-Oct-13,"CRISIL BBB/CRISILA3+",14-May-15,"CRISIL BBB-/CRISILA3",11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Phil Systems,CRISIL BBB-,15-Jul-14,CRISIL BBB,14-May-15,CRISIL BBB-,11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Philips India Limited,CRISIL A1+,15-Oct-92,"CRISIL AA/CRISILA1+",6-Mar-02,"CRISIL AA+/CRISILA1+",3-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Philips Lighting India Limited,CRISIL AA/CRISIL A1+,5-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Phils Heavy Engineering Private Limited,CRISIL BBB-/CRISIL A3,19-Jan-10,"CRISIL BB-/CRISILA4",15-Jul-11,"CRISIL BB-/CRISILA4+",4-Dec-13,"CRISIL BB/CRISILA4+",5-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,
1059,Phoenix ARC Private Limited,CRISIL AA,1-Dec-15,"CRISIL AA/CRISILA1+",13-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Phoenix Foils Private Limited,CRISIL B+/CRISIL A4,22-Mar-10,"CRISIL BB-/CRISILA4+",1-Jun-12,"CRISIL BB/CRISILA4+",18-Jun-14,"CRISILBB+/CRISIL A4+",1-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
1061,Phoenix Ispat Private Limited,CRISIL B+,10-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Phoolchand Bhagatsingh,CRISIL BB+,12-May-14,Suspended,20-Jan-16,"CRISIL BB+/CRISILA4+",30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Phooltas Transrail Limited,CRISIL BBB/CRISIL A3+,27-Mar-09,"CRISIL BB+/CRISILA4+",3-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Phorotech Surfin (India) Private Limited,CRISIL BBB-,21-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Phorum Jewels Limited,CRISIL BB-,14-Mar-12,CRISIL B+,24-Dec-14,CRISIL D,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Photon Energy Systems Limited,CRISIL BB/CRISIL A4+,22-Jul-11,CRISIL C/CRISIL A4,6-Feb-14,CRISIL B-/CRISIL A4,9-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Phyto Chem (India) Limited,CRISIL BB-/CRISIL A4+,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,PI Industries Limited,CRISIL BBB-/CRISIL A3,29-Dec-08,"CRISILBBB+/CRISIL A2",22-Feb-10,"CRISIL A-/CRISILA2+",29-Jan-11,"CRISIL A/CRISILA1",24-Oct-11,"CRISILA+/CRISIL A1",23-Oct-12,"CRISIL AA-/CRISIL A1+",28-Nov-13,"CRISILAA/CRISIL A1+",9-Jun-16,,,,,,,,,,,,,,,,,,
1069,Piaggio Vehicles Private Limited,CRISIL A+/CRISIL A1+,17-Feb-09,"CRISIL A+/CRISILA1",23-Jul-12,CRISIL A/CRISIL A1,22-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Picasso Home Products Private Limited,CRISIL B,23-Jul-14,CRISIL B/CRISIL A4,27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Pickwick Hygienic Products Private Limited,CRISIL BB/CRISIL A4+,28-Feb-13,CRISIL A4+,3-Apr-14,"CRISIL BB+/CRISILA4+",22-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,PICL (India) Private Limited,CRISIL A-/CRISIL A2+,30-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Picson Construction Equipments Private Limited,CRISIL B+/CRISIL A4,28-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Pidilite Industries Limited,CRISIL A1,30-Sep-93,CRISIL A1+,13-Jan-94,CRISIL A/CRISIL A1+,30-Jun-96,CRISIL A1+,30-Sep-96,"CRISILAAA/CRISIL A1+",28-Sep-07,"CRISILAA+/CRISIL A1+",17-Mar-09,"CRISILAAA/CRISIL A1+",13-Oct-16,,,,,,,,,,,,,,,,,,
1075,Piem Hotels Limited,CRISIL A1+,16-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,PIL Pharmaceuticals Private Limited,CRISIL D,30-Oct-12,CRISIL BB-,29-Jul-13,CRISIL BBB-,3-Jan-14,CRISIL BBB,15-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,
1077,Pilania Industries (India) Pvt Ltd,CRISIL B+,4-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Pillai and Sons Motor Company,CRISIL BB-/CRISIL A4+,6-Sep-13,"CRISIL BB/CRISILA4+",7-Oct-14,CRISIL BB,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Pilot Industries Limited,CRISIL BBB/CRISIL A3+,21-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
