732,Angel Promoters Private Limited,CRISIL C,11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Angelique International Limited,CRISIL BBB/CRISIL A3+,16-Jul-08,"CRISILBBB+/CRISIL A2",30-Aug-10,CRISIL A/CRISIL A1,17-Nov-11,"CRISIL A-/CRISILA2+",4-Feb-16,"CRISILBBB+/CRISILA2",9-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Angika Development Society,CRISIL BB+,26-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Anika Apparels Private Limited,CRISIL B+/CRISIL A4,13-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Anil and Company,CRISIL B+/CRISIL A4,7-Nov-14,"CRISIL BB-/CRISILA4+",6-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Anil Buildcon India Private Limited,CRISIL BBB-/CRISIL A3,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anil Colour Industries Private Limited,FB+,7-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Anil Corner,CRISIL B+,27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Anil Engineering Private Limited,CRISIL B-,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Anil Fireworks Factory,CRISIL BBB-,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Anil Kumar and Company,CRISIL BB+/CRISIL A4+,4-Oct-11,"CRISIL BB/CRISILA4+",2-Jan-13,Suspended,16-Sep-14,"CRISILBB+/CRISIL A4+",29-Nov-14,"CRISIL BBB-/CRISIL A3",3-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Anil Kumar Biswal,CRISIL B+/CRISIL A4,23-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Anil Kumar Goel,CRISIL BB-/CRISIL A4+,15-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Anil Sancheti,CRISIL A4,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Anil Santhosh & Associates,CRISIL B+/CRISIL A4,15-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Anil Steels Private Limited,CRISIL B+/CRISIL A4,15-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Anilkumar Construction Company,CRISIL D/CRISIL D,27-Nov-12,"CRISIL B-/CRISILA4",29-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Anir Techpark Private Limited,CRISIL B-,29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Anirudh Texchem Private Limited,CRISIL BB-,29-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Anish Infracon India Private Limited,CRISIL BBB+/CRISIL A2,21-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Anisha Impex Limited,CRISIL B,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Anitha Cashews,CRISIL BB-,26-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Anitha Texcot India Private Limited,CRISIL B,13-May-14,CRISIL B+,22-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Anithaa Weaving Mill Private Limited,CRISIL BB/CRISIL A4+,10-May-13,CRISIL BB,9-Jul-14,CRISIL BB+,22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Anjali Hotels Private Limited,CRISIL D/CRISIL D,7-May-10,"CRISIL B-/CRISILA4",21-Jun-13,"CRISIL BB-/CRISILA4+",19-Nov-14,CRISIL BB,16-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Anjan Infrastructure Private Limited,CRISIL B/CRISIL A4,17-Mar-11,"CRISIL BB-/CRISILA4+",21-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Anjana Constructions,CRISIL B/CRISIL A4,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Anjaneya Jewellery,CRISIL B+,12-Sep-14,CRISIL BB-,8-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Anjani Steels Limited,CRISIL BBB/CRISIL A3+,4-Sep-08,CRISIL BBB-,10-Feb-14,"CRISIL BBB-/CRISILA3",24-Feb-14,"CRISIL BB/CRISILA4+",30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Ankit Diamonds,CRISIL BB/CRISIL A4+,11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Ankit Electro Grating,CRISIL BB-/CRISIL A4+,29-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Ankit Gems Private Limited,CRISIL BBB+/CRISIL A2,19-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Ankit Steels,CRISIL B/CRISIL A4,19-Nov-13,"CRISIL BB-/CRISILA4+",13-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Ankita Agro and Food Processing Private Limited,CRISIL B,13-Aug-14,CRISIL B-,19-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Ankur Chemfood Limited,CRISIL BB/CRISIL A4,12-Feb-09,"CRISIL BB/CRISILA4+",4-Nov-09,"CRISIL BB+/CRISILA4+",10-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Ankur Iron India Private Limited,CRISIL B+/CRISIL A4,29-Aug-12,CRISIL B/CRISIL A4,26-Aug-14,CRISIL B+/CRISIL A4,6-Jul-15,"CRISIL B/CRISILA4",24-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Ankur Roller Flour Mills Private Limited,CRISIL BBB/CRISIL A3+,12-Mar-15,"CRISILBBB+/CRISIL A2",31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Anmol Associates - Lucknow,CRISIL B/CRISIL A4,16-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Anmol Enterprises,CRISIL B,11-Jul-13,CRISIL D,11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Anmol Feed Private Limited,CRISIL BB+/CRISIL A4+,30-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Anmol Fluid Control Products Private Limited,CRISIL BB-/CRISIL A4+,15-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Anmol Steel Processors Private Limited,CRISIL BB+/CRISIL A4+,26-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Anna Aluminium Company Private Limited,CRISIL BBB/CRISIL A3+,31-May-13,CRISIL BBB,16-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Anna Trouver Export Agenzia,CRISIL B/CRISIL A4,7-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Annai Infra Developers Private Limited,CRISIL BB+/CRISIL A4+,4-Aug-14,"CRISIL BBB-/CRISILA3",29-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Annai Jewellers,CRISIL BB,20-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Annakoot Properties Private Limited,CRISIL B-,13-May-15,CRISIL BB,21-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Annanya Interface and Controls Private Limited,CRISIL B/CRISIL A4,22-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Annapurna Buildcon Infra Private Limited,CRISIL B,13-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,"Annapurna Constructions and Transmissions PrivateLimited",CRISIL BB-/CRISIL A4+,25-Sep-12,"CRISIL B+/CRISILA4",14-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Annapurna Cotex Private Limited,CRISIL BB-,27-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Annapurna Industries - Kanpur,CRISIL B+,27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Annapurna Industries -Mirzapur,CRISIL BB-/CRISIL A4+,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Annapurna Udyog,CRISIL BB,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Annur A P A Spinners Private Limited,CRISIL B-,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Annur Sriambal Fabrics Private Limited,CRISIL B+,21-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Anpras Food Products Private Limited,CRISIL B+/CRISIL A4,26-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,ANR International Private Limited,CRISIL B+/CRISIL A4,12-Feb-15,Suspended,12-Apr-16,"CRISIL BB-/CRISILA4+",7-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Ans Developers Private Limited,CRISIL BB-,15-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,ANS Private Limited,CRISIL A4,3-Jun-09,CRISIL A4+,15-Sep-09,CRISIL A3,28-Dec-10,"CRISIL BBB-/CRISIL A3",27-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Ansari Estate Private Limited,CRISIL BB+,30-Jan-10,CRISIL BBB-,10-Apr-12,Suspended,20-Nov-13,CRISIL BB,8-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Anshu Automotives Private Limited,CRISIL B+/CRISIL A4,22-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Anshul Specialty Molecules Private Limited,CRISIL BBB/CRISIL A3+,27-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,"Anshula Technological Engineering Consultants PrivateLimited",CRISIL BB-,17-Nov-14,"CRISIL B+/CRISILA4",3-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Antara Jewellery Private Limited,CRISIL BBB+/CRISIL A2,5-May-09,CRISIL BBB+,2-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Antarctic Industries Limited,CRISIL BB-/CRISIL A4+,14-Aug-14,"CRISIL B+/CRISILA4",11-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Antila Ceramic Private Limited,CRISIL B/CRISIL A4,30-Apr-11,Suspended,15-Apr-13,"CRISIL BB-/CRISILA4+",30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Antony Commercial Vehicles Private Limited,CRISIL B+,31-Jan-14,"CRISIL BB-/CRISILA4+",2-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Antony Garages Private Limited,CRISIL BB/CRISIL A4,9-Jul-09,"CRISIL BB/CRISILA4+",15-Sep-09,"CRISIL BB-/CRISILA4+",30-Dec-13,"CRISIL BB/CRISILA4+",31-Mar-15,"CRISIL BB-/CRISIL A4+",5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Anubandana Infratech Private Limited,CRISIL B,6-Oct-15,CRISIL D,3-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Anubhav Trading,CRISIL B+,23-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Anucool Industrial Aids Private Limited,CRISIL BB+,20-Jan-12,"CRISIL BB+/CRISILA4+",24-Dec-12,"CRISIL BB/CRISILA4+",10-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Anugrah Stock And Broking Private Limited,CRISIL BB-/CRISIL A4+,19-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Anuj Global Corporation,CRISIL B/CRISIL A4,13-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Anukool India Private Limited,CRISIL BB+/CRISIL A4+,18-May-12,"CRISIL BB/CRISILA4+",11-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Anukul Agrotech Private Limited,CRISIL B+,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Anup Malleables Limited,CRISIL B+/CRISIL A4,20-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Anupam Colours Private Limited,CRISIL BB/CRISIL A4+,8-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Anupam Construction Co,CRISIL BB+/CRISIL A4+,9-Aug-12,"CRISIL BBB-/CRISILA3",6-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Anupam Fibrotech,CRISIL BB-/CRISIL A4+,24-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Anupam Industries,CRISIL BB-,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Anupam Industries Limited,CRISIL B-/CRISIL A4,18-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Anupam Rasayan India Limited,CRISIL BBB-/CRISIL A3,1-Dec-11,"CRISIL BBB/CRISILA3+",16-Oct-12,CRISIL BBB,23-Jun-14,"CRISILBBB+/CRISIL A2",11-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Anuron Infrastructures,CRISIL B,23-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Anuspaa Heritage Products Private Limited,CRISIL B/CRISIL A4,16-Jan-14,CRISIL D/CRISIL D,16-Apr-15,CRISIL B-/CRISIL A4,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,Anvita Builders Private Limited,CRISIL B+,24-Feb-15,CRISIL D,14-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,A-One Foot Arts Private Limited,CRISIL B+/CRISIL A4,31-Dec-13,"CRISIL BB-/CRISILA4+",9-Dec-14,"CRISIL BB/CRISILA4+",27-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,A-One Footwears Private Limited,CRISIL BB/CRISIL A4+,31-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,AOV Exports Private Limited,CRISIL BBB/CRISIL A3+,5-Aug-13,"CRISILBBB+/CRISIL A2",20-Aug-14,"CRISIL BBB/CRISILA3+",10-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,AP Inc Lic,CRISIL B,6-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Aparna Controls Private Limited,CRISIL BB-/CRISIL A4+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Apco Automobiles Private Limited,CRISIL B+/CRISIL A4,3-Apr-12,"CRISIL BB-/CRISILA4+",18-Mar-13,CRISIL BB-,24-Jun-14,CRISIL B,8-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Apco Infratech Private Limited,CRISIL BB+/CRISIL A4,4-May-09,"CRISIL BB+/CRISILA4+",15-Sep-09,"CRISIL BBB-/CRISILA3",10-Aug-10,"CRISILBB+/CRISIL A4+",18-Dec-12,Suspended,30-Jan-14,"CRISIL A-/CRISIL A2+",30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Apco Vehicles India Private Limited,CRISIL B/CRISIL A4,15-Oct-12,"CRISIL B+/CRISILA4",8-Jan-14,"CRISIL BB-/CRISILA4+",9-Mar-15,"CRISIL BB/CRISILA4+",23-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Apex Builders,CRISIL B+,31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Apex Corporation India Private Limited,CRISIL BB/CRISIL A4+,31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Apex Healthcare Limited,CRISIL B+,27-Jun-12,CRISIL BB-,21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Apex Heart Care Private Limited,CRISIL BB+/CRISIL A4+,25-Mar-14,"CRISIL BB/CRISILA4+",24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Apex Luminaires Private Limited,CRISIL BB-,17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Apex Steel and Technology India Private Limited,CRISIL BB/CRISIL A4+,31-Dec-12,"CRISIL BB-/CRISILA4+",18-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,Apex Suratgarh Multispeciality Hospital Private Limited,CRISIL B+,31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Apex Tarmac Private Limited,CRISIL BBB/CRISIL A3+,26-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Apex Welcare Private Limited,CRISIL BB+,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Aphrodite 4Wheels Private Limited,CRISIL B+/CRISIL A4,20-Oct-14,CRISIL B+,13-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Aphrodite Infra Private Limited,CRISIL B+,30-Jan-14,CRISIL BB-,22-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,APIndia Biotech Private Limited,CRISIL BB+,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Apis India Limited,CRISIL BB/CRISIL A4+,25-May-10,Suspended,18-Apr-13,"CRISIL BB+/CRISILA4+",11-Sep-13,"CRISIL BBB-/CRISIL A3",18-Sep-14,"CRISILBBB/CRISILA3+",1-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,APL Corporation Private Limited,CRISIL BB,16-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,APL Metals Limited,CRISIL B-,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Apna Sahakari Bank Limited,CRISIL A3,17-Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Apollo Bangalore Cradle Limited,CRISIL BBB+,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Apollo Conveyor Private Limited,CRISIL D,3-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Apollo Creations Private Limited,CRISIL B+,27-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Apollo Enterprises,CRISIL C,19-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Apollo Gleneagles Hospital Limited,CRISIL BBB+/CRISIL A2,3-Jul-08,"CRISIL A-/CRISILA2+",21-Jun-10,CRISIL A/CRISIL A1,30-Jul-11,"CRISIL A+/CRISILA1",27-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Apollo Health and Lifestyle Limited,CRISIL A,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Apollo Hospitals Enterprise Limited,CRISIL AA-/FAA+,12-Apr-01,"CRISIL AA-/FAA+/CRISIL A1+",4-Sep-02,CRISIL AA-/FAA+,20-Feb-04,"CRISIL AA-/FAA+/CRISIL A1+",1-May-08,"CRISILAA/FAA+/CRISIL A1+",6-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Apollo Hospitals International Limited,CRISIL BBB-/CRISIL A3,27-May-14,"CRISIL BBB/CRISILA3+",3-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Apollo Microsystems Private Limited,CRISIL B+/CRISIL A4,31-Dec-12,"CRISIL BB-/CRISILA4+",18-Jun-14,"CRISIL BB/CRISILA4+",31-Dec-14,"CRISILBB+/CRISIL A4+",28-Aug-15,"CRISIL BBB-/CRISIL A3",22-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Apollo Pipes Limited,CRISIL BBB-/CRISIL A3,15-Jul-10,"CRISIL BBB/CRISILA3+",16-May-12,"CRISIL BBB+/CRISILA2",18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Apollo Power Systems Private Limited,CRISIL B+/CRISIL A4,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Apollo Specialty Hospitals Private Limited,CRISIL BBB+,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Apollo Tyres Limited,CRISIL A1+,31-Mar-89,Withdrawal,9-Aug-91,CRISIL A1+,30-Jun-93,CRISIL A1,31-Dec-93,"CRISIL AA-/CRISIL A1+",31-Dec-94,"CRISILA+/CRISIL A1",3-Feb-99,"CRISIL AA-/CRISIL A1+",1-Dec-99,"CRISIL A+/CRISILA1",27-Dec-01,"CRISIL AA-/CRISIL A1+",10-Mar-03,"CRISILAA/CRISIL A1+",17-Aug-10,"CRISIL A/CRISILA1",15-Jun-13,"CRISIL AA/CRISILA1+",24-Jan-14,"CRISILAA+/CRISIL A1+",9-Dec-15,,,,,,,,,,,,
855,Apollo Vikas Steels Private Limited,CRISIL B+/CRISIL A4,14-Sep-09,"CRISIL BB-/CRISILA4+",4-Jun-10,"CRISIL BB+/CRISILA4+",20-Jul-11,"CRISIL BB/CRISILA4+",19-Feb-14,"CRISIL BB-/CRISIL A4+",17-Mar-15,"CRISILB+/CRISIL A4",8-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Apotex Pharmachem India Private Limited,CRISIL A2,16-Aug-10,CRISIL BBB+,10-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Approcopp Engineering Private Limited,CRISIL BB/CRISIL A4+,10-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Apra Enterprises,CRISIL BB-/CRISIL A4+,27-Jan-11,"CRISIL B+/CRISILA4",12-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,APS Hydro Private Limited,CRISIL B+/CRISIL A4,10-Apr-14,"CRISIL BB-/CRISILA4+",10-Jul-15,CRISIL B+/CRISIL A4,4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision","Rating after 16thRevision","Date of 16thRevision","Rating after 17thRevision","Date of 17thRevision","Rating after 18thRevision","Date of 18thRevision"
860,APS Steels Limited,CRISIL B/CRISIL A4,26-Mar-14,CRISIL D/CRISIL D,26-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Apt Packaging Limited,CRISIL D/CRISIL D,28-Feb-11,"CRISIL B-/CRISILA4",28-Jun-13,CRISIL D/CRISIL D,10-Feb-15,"CRISIL B-/CRISILA4",22-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Aqua Alloys Private Limited,CRISIL BBB-/CRISIL A3,30-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Aqua Geno Exim,CRISIL B+/CRISIL A4,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Aqua Machineries Private Limited,CRISIL BB+/CRISIL A4+,19-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Aqua World Exports Private Limited,CRISIL B+,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Aquaco Industries Private Limited,CRISIL B-,14-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Aqualite India Private Limited,CRISIL BBB,16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Aqualite Rubbers and Plastics Private Limited,CRISIL BBB/CRISIL A3+,16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Aquamall Water Solutions Limited,CRISIL AA-/CRISIL A1+,23-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Aquanomics Systems Limited,CRISIL BBB-/CRISIL A3,29-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Aquapharm Chemicals Private Limited,CRISIL BBB-,2-Feb-09,"CRISIL BBB-/CRISILA3",8-Jun-09,"CRISIL BBB+/CRISILA2",7-Sep-10,"CRISIL A-/CRISILA2+",15-Sep-14,"CRISIL A-/CRISIL A1",31-Dec-15,"CRISIL A/CRISILA1",24-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Aquarius Engineers Private Limited,CRISIL BBB/CRISIL A3+,17-Nov-11,"CRISIL BBB-/CRISILA3",21-Oct-13,"CRISIL BB+/CRISILA4+",25-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Aquarius Shipyard Private Limited,CRISIL BBB-/CRISIL A3,20-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Aquatech Systems (Asia) Private Limited,CRISIL BBB/CRISIL A3+,8-Oct-08,"CRISILBBB+/CRISIL A2",17-Aug-11,"CRISIL BBB/CRISILA3+",2-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Aqueduct Plastics Private Limited,CRISIL B/CRISIL A4,31-Jan-11,"CRISIL BB-/CRISILA4+",21-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Aquent Impex India Private Limited,CRISIL BB-,20-Mar-12,CRISIL BB+,21-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Aquila Ceramic Private Limited,CRISIL B/CRISIL A4,25-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,AR Constructions,CRISIL B+/CRISIL A4,27-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
